date,time,Total kW,Total kVA,Total kVAr,PF
2021-01-03,06:00:00,18130.0,19260.0,6500.053845930816,0.9413291796469366
2021-01-03,07:00:00,18520.0,19800.0,7003.5419610365725,0.9353535353535354
2021-01-03,08:00:00,16270.0,17730.0,7045.565981523415,0.9176536943034405
2021-01-03,09:00:00,16310.0,17790.0,7104.083332844569,0.9168071950534008
2021-01-03,10:00:00,17130.0,18680.0,7450.201339561234,0.9170235546038544
2021-01-03,11:00:00,17710.0,19360.0,7820.837551055513,0.9147727272727273
2021-01-03,12:00:00,17430.0,18970.0,7487.055495987725,0.9188191881918819
2021-01-03,13:00:00,18270.0,19990.0,8112.163706434923,0.9139569784892446
2021-01-03,14:00:00,19050.0,20870.0,8523.755041060249,0.9127934834690944
2021-01-03,15:00:00,19820.0,21600.0,8586.477741192835,0.9175925925925926
2021-01-03,16:00:00,20350.0,22220.0,8922.213850833212,0.9158415841584159
2021-01-03,17:00:00,20290.0,22070.0,8683.363403658746,0.9193475305845038
2021-01-03,18:00:00,19640.0,21300.0,8243.809798873333,0.9220657276995305
2021-01-03,19:00:00,20430.0,21830.0,7691.813830300367,0.9358680714612918
2021-01-03,20:00:00,22800.0,23910.0,7200.56247802906,0.9535759096612296
2021-01-03,21:00:00,23110.0,24040.0,6621.895499024429,0.9613144758735441
2021-01-03,22:00:00,22910.0,23810.0,6484.442921331022,0.9622007559848803
2021-01-03,23:00:00,21670.0,22600.0,6416.470992687491,0.9588495575221239
2021-02-03,00:00:00,20340.0,21290.0,6288.759814144598,0.9553781117895725
2021-02-03,01:00:00,19640.0,20660.0,6411.396103813896,0.9506292352371732
2021-02-03,02:00:00,19140.0,20140.0,6267.375846396959,0.9503475670307845
2021-02-03,03:00:00,18230.0,19100.0,5698.868308708317,0.9544502617801047
2021-02-03,04:00:00,17790.0,18690.0,5729.921465430394,0.9518459069020867
2021-02-03,05:00:00,17680.0,18560.0,5647.22940918819,0.9525862068965517
2021-02-03,06:00:00,18270.0,19110.0,5603.49890693306,0.9560439560439561
2021-02-03,07:00:00,17900.0,18740.0,5547.756303227458,0.9551760939167556
2021-02-03,08:00:00,16220.0,17310.0,6045.469377972235,0.9370306181398036
2021-02-03,09:00:00,16540.0,17900.0,6843.858560782799,0.924022346368715
2021-02-03,10:00:00,16840.0,18240.0,7007.9954337884665,0.9232456140350878
2021-02-03,11:00:00,17350.0,18690.0,6949.359682733367,0.9283039058319957
2021-02-03,12:00:00,17040.0,18370.0,6862.6015475182585,0.9275993467610234
2021-02-03,13:00:00,17470.0,18790.0,6918.323496339269,0.9297498669505055
2021-02-03,14:00:00,17420.0,18820.0,7122.920749243249,0.9256110520722636
2021-02-03,15:00:00,18910.0,20370.0,7572.8990485810655,0.928325969563083
2021-02-03,16:00:00,19120.0,20640.0,7774.007975298199,0.9263565891472868
2021-02-03,17:00:00,19110.0,20660.0,7851.337465680608,0.9249757986447241
2021-02-03,18:00:00,19010.0,20730.0,8267.575218889757,0.9170284611673902
2021-02-03,19:00:00,20450.0,22120.0,8431.601271407466,0.924502712477396
2021-02-03,20:00:00,23260.0,24510.0,7727.386362800815,0.949000407996736
2021-02-03,21:00:00,23490.0,24510.0,6997.14227381436,0.9583843329253366
2021-02-03,22:00:00,22280.0,23180.0,6396.405240445605,0.9611734253666955
2021-02-03,23:00:00,22190.0,23160.0,6632.4580662074295,0.9581174438687392
2021-03-03,00:00:00,21230.0,22360.0,7018.311762810199,0.9494633273703041
2021-03-03,01:00:00,20590.0,21780.0,7100.725315064652,0.9453627180899908
2021-03-03,02:00:00,19860.0,21030.0,6916.740561854261,0.9443651925820257
2021-03-03,03:00:00,19250.0,20390.0,6722.321027740344,0.9440902403138793
2021-03-03,04:00:00,18740.0,19740.0,6203.224967708329,0.9493414387031408
2021-03-03,05:00:00,18600.0,19660.0,6368.327881006128,0.9460834181078331
2021-03-03,06:00:00,18950.0,19890.0,6042.317436216009,0.9527400703871292
2021-03-03,07:00:00,18860.0,20040.0,6775.101475254817,0.9411177644710579
2021-03-03,08:00:00,17030.0,18630.0,7553.542215411257,0.9141170155662909
2021-03-03,09:00:00,17520.0,19240.0,7951.553307373346,0.9106029106029107
2021-03-03,10:00:00,18510.0,20260.0,8236.95939045471,0.9136229022704837
2021-03-03,11:00:00,17960.0,19660.0,7997.1244832127,0.91353001017294
2021-03-03,12:00:00,16960.0,18530.0,7464.536154376908,0.9152725310307609
2021-03-03,13:00:00,16600.0,18030.0,7037.108781310688,0.920687742651137
2021-03-03,14:00:00,18050.0,19730.0,7966.831239583276,0.9148504815002534
2021-03-03,15:00:00,17830.0,19350.0,7517.5527932965,0.9214470284237726
2021-03-03,16:00:00,18130.0,19690.0,7681.093672127688,0.9207719654647029
2021-03-03,17:00:00,18010.0,19450.0,7344.54899908769,0.9259640102827763
2021-03-03,18:00:00,18060.0,19530.0,7433.5254085797005,0.9247311827956989
2021-03-03,19:00:00,19100.0,20300.0,6876.045375068434,0.9408866995073891
2021-03-03,20:00:00,22860.0,23810.0,6658.565911665964,0.9601007979840404
2021-03-03,21:00:00,23630.0,24510.0,6508.701867500155,0.9640962872297022
2021-03-03,22:00:00,23620.0,24510.0,6544.898776910151,0.9636882904936761
